qacc	Freq	Species
ASV160	304	Pantoea_agglomerans
ASV161	427	Escherichia_coli
ASV162	900	Lactobacillus_plantarum
ASV163	112	Kocuria_rosea
ASV164	140	Comamonas_testosteroni
ASV165	562	Klebsiella_pneumoniae
ASV166	171	Lactobacillus_rhamnosus
ASV167	174	Riemerella_anatipestifer
ASV168	130	Corynebacterium_pseudotuberculosis
ASV169	235	Bacillus_aryabhattai
ASV170	222	Acetobacter_pasteurianus
ASV171	548	Acinetobacter_baumannii
ASV172	874	Lactobacillus_plantarum
ASV173	358	Enterococcus_faecium
ASV174	335	Lysinibacillus_fusiformis
ASV175	195	Carnobacterium_maltaromaticum
ASV176	268	Porphyromonas_levii
ASV177	208	Acetobacter_pasteurianus
ASV178	909	Lactobacillus_plantarum
ASV179	858	Bacillus_licheniformis
ASV180	205	Acetobacter_pasteurianus
ASV181	394	Lactobacillus_plantarum
ASV182	130	Corynebacterium_pseudotuberculosis
ASV183	887	Lactobacillus_plantarum
ASV184	177	Porphyromonas_levii
ASV185	769	Salmonella_enterica
ASV186	130	Corynebacterium_pseudotuberculosis
ASV187	886	Lactobacillus_plantarum
ASV188	111	Bacillus_circulans
ASV189	395	Lactobacillus_plantarum
ASV190	667	Bacillus_licheniformis
ASV191	130	Corynebacterium_pseudotuberculosis
ASV192	190	Lactobacillus_sakei
ASV193	371	Achromobacter_xylosoxidans
ASV194	502	Lactobacillus_brevis
ASV195	772	Leuconostoc_mesenteroides
ASV196	674	Rhizobium_radiobacter
ASV197	469	Lactobacillus_brevis
ASV198	910	Lactobacillus_plantarum
ASV199	448	Lactobacillus_brevis
ASV200	426	Bacillus_megaterium
ASV201	357	Achromobacter_xylosoxidans
ASV202	859	Lactobacillus_plantarum
ASV203	110	Curtobacterium_flaccumfaciens
ASV204	864	Lactobacillus_plantarum
ASV205	495	Lactobacillus_plantarum
ASV206	510	Salmonella_enterica
ASV207	982	Stenotrophomonas_maltophilia
ASV208	546	Salmonella_enterica
ASV209	242	Enterococcus_faecium
ASV210	213	Klebsiella_pneumoniae
ASV211	439	Bacillus_cereus
ASV212	98	Erwinia_amylovora
ASV213	162	Porphyromonas_levii
ASV214	93	Rhodobacter_sphaeroides
ASV215	816	Bacillus_licheniformis
ASV216	120	Corynebacterium_glutamicum
ASV217	69	Elizabethkingia_meningoseptica
ASV218	184	Enterobacter_cloacae
ASV219	328	Pantoea_agglomerans
ASV220	179	Curtobacterium_flaccumfaciens
ASV221	304	Serratia_marcescens
ASV222	322	Klebsiella_pneumoniae
ASV223	89	Rhodobacter_sphaeroides
ASV224	478	Lactobacillus_brevis
ASV225	171	Acetobacter_pasteurianus
ASV226	270	Weissella_cibaria
ASV227	92	Rhodobacter_sphaeroides
ASV228	80	Sphingobium_yanoikuyae
ASV229	365	Pantoea_agglomerans
ASV230	907	Lactobacillus_plantarum
ASV231	903	Lactobacillus_plantarum
ASV232	104	Curtobacterium_flaccumfaciens
ASV233	850	Bacillus_subtilis
ASV234	275	Bacillus_firmus
ASV235	158	Bacillus_aryabhattai
ASV236	159	Ralstonia_solanacearum
ASV237	296	Brucella_melitensis
ASV238	430	Cronobacter_sakazakii
ASV239	130	Corynebacterium_pseudotuberculosis
